title,videourl,hoteltype,address,contact,webpage,email,workinghours,workingdays,places,municipality,owner,programm,services,activities,foodplace,spa,others,president,stars,roomsnumber,placenums,checkin,checkout,price,priceseason,manager,director,tags
"აისი/ Aisi",,სასტუმრო," გრიბოედოვი/ ზ. გორგილაძის   ქ. № 153/29 / Griboedovi/Z. Gorgiladze St. № 153/29","568 32 00 99",,"contact@hotelaisi.ge/ www.hotelaisi.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,არამწეველთა ოთახები",ბილიარდი,"რესტორანი,კაფე",,,"არ აქვთ",4,37,71,,,"ერთ ადგ:120-150 ორ ადგ:150-180","ერთ ადგ:150  ორ ადგ:180","როლანდი ფეთერაძე-579122200",,
"ნადიკვარი/ Nadikvari",,სასტუმრო,"ბარათაშვილის ქუჩა N28/ Baratashvili str. N28","595 13 40 00 მეპატრონე ",,"hotelnadigvari@gmail.com ",,,,,,,"Wi-Fi,ტრანსფერი",,რესტორანი,,,"არ აქვთ",2,3,9,,,"ერთ/ორ ადგილიანი 50 ლარი","ერთ/ორ ადგილიანი 100-120 ლარი","მენეჯერი: მერაბ ბერიძე-595 13 40 00 ","595 13 40 00 ","#Nadikvari #Hotels #Wifi #Transfer "
ნება/Neba,,სასტუმრო,"პუშკინის ქ.  №85/91 / Pushkini str. N85/91","558 16 91 69 (0422) 22 54 78",,,,,,,,,"Wi-Fi,პარკინგი",,,"საუნა,მასაჟი",,"არ აქვთ",2,15,25,,,"ერთ ადგილიანი:80 ; ორ ადგილიანი :100","ერთ ადგილიანი:80 ; ორ ადგილიანი :100","ნები ხანჯერლი 579535363 ",,"#ნება #Neba #Hotels #Batumi #Wifi #Parking "
"ანადოლუ  სტარ /Anadoglu star",,სასტუმრო,"ქუთაისის ქ. №23/ Kutaisi St. №23","(0422) 294433/ 577 404197",,anadolustar4@gmail.com/,,,,,,,"Wi-Fi,არამწეველთა ოთახები",კაზინო,ბარი,,,"არ აქვთ",,20,,,,,"ორ ადგ:160",,,
ნია/Nia,,სასტუმრო,"ზუბალაშვილის ქ. N14 / Zubalashvili str. N14","(0422) 27 59 12; 568 15 56 54; 790 33 56 54",,,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,შინაური ცხოველები დაშვებულია,ტრანსფერი,ექსკურსიები",,კაფე,,"ზღვასთან ახლოს","არ აქვს",2,9,18,,,"ერთ/ორ ადგილიანი:  60 ლარი","ერთ ადგილიანი: 80-100 ლარი ;  ორ ადგილიანი: 100-120 ლარი",,"ზურაბ ბერიძე - 593 15 56 54","#ნია #Nia #Hotels #Wifi #BlackSea #Excursions #Pets #Transfer #parking #CreditCard "
ნინი/Nini,,სასტუმრო,"აღმაშენებლის ქ.  №25 / Aghmashenebli ave. N25","555 24 19 05; (0422) 22 22 49 ",,,,,,,,,,,,,,"არ აქვთ ",,,,,,,"ერთ ადგილიანი :80-100 ლარი; ორ ადგილიანი: 80-100","მენეჯერი: 555 24 19 05",,"#Nini #ნინი #Batumi "
"ოლდ სითი/ Old City",,სასტუმრო,"თავდადებულის ქ. N23 / Tavdadebuli str. N23","(0422) 27 32 43; 598 49 99 99",,"booking@old-city.ge; info@old-city.ge /www.old-city.ge",,,,,,,"Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ლიფტი",,"რესტორანი,კაფე","ღია აუზი","ზღვასთან ახლოს","არ აქვთ",4,10,24,,,"ერთ/ორ ადგილიანი 80-90 ლარი","ორ ადგილიანი : 200 ლარი საუზმით; ლუქსი: 250 ლარი","გიორგი მიქაძე-557 72 32 33 ",,"#Batumi #OldCity #Wifi #Parking #Breakfast #Pets #Restaurant #Cafe #SwimmingPool "
"ოლდ თაუნი/Old Town ",,სასტუმრო,"ქუთაისის ქ. N1/28/ Kutaisi str. N1/28","(0422) 22 49 59",,"hoteloldtown@mail.ru /www.hoteloldtown.ge",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი,საუზმე,შინაური ცხოველები დაშვებულია,ტრანსფერი,ექსკურსიები,ლიფტი",,"რესტორანი,ბარი",,"ზღვასთან ახლოს","არ აქვთ",3,20,60,,,"ერთ ადგილიანი: 100 ლარი;  ლუქსი: 150 ლარი","ორ ადგილიანი: 200-250 ლარი;  ნახევრად ლუქსი: 200ლ.","რევაზ არძენაძე -577 45 84 71",,"#Batumi #OldTown #Wifi #Parking #Creditcard #Pets #SeaSide #CafeBar "
ბათუსი/BATUSI,,სასტუმრო,"ჯავახიშვილის ქ. JAVAKHISHVILI ST.№4ა ","&quot;577 25 03 03 (0422)  25 03 03&quot;",,info@batus.ge,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi","ბილიარდი,კარაოკე",კაფე,,,"&quot;საპრეზიდენტო  ნომერი არა აქვთ&quot;",,18,36,,,"&quot;ერთ ადგ:70 ორ ადგ: 90&quot;","&quot;ერთ ადგ:120 ორ ადგ: 140&quot;","&quot;მენეჯერი: ბაჩო მიქელაძე -574 3000 90 59302 03 32 &quot;",,
ანტიკა/Antika,,სასტუმრო,"ა.პუშკინის ქ. №108 / A.Pushkini St. №108","(0422) 25 24 14/ 514 61 24 24",,"hotelantika@mail.ru/ www.hotelantika.com",,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,საუზმე",,რესტორანი,,,"არ აქვთ",2,19,45,,,"ერთ ადგ:70 ორ ადგ:80","ერთ ადგ:80  ორ ადგ:100","ინგა კოჩაძე  -577 61 24 24",,
"ოლდ ბათუმი/ Old Batumi",,სასტუმრო,"გოგებაშვილის ქ.   №12/ Gogebashvili str. N12","(0422) 27 68 94; 555 57 90 47 ",,old.town2014@mail.ru,,,,,,,"Wi-Fi,პარკინგი,ტრანსფერი,ექსკურსიები",,კაფე,,,"არ აქვთ",,5,10,,,"ერთ ადგილიანი: 120 ლარი; ორ ადგილიანი: 140 ლარი","ორ ადგილიანი: 200 ლარი","თემური ზოიძე -595 77 24 00",,"#OldBatumi #Wifi #Transfer #Excursions #Parking "
"ოქროს სახლი/Golden House ",,სასტუმრო,"გოგოლის ქ. №23ა / Gogoli str. N23/a","555 70 10 04;  593 51 73 10; 558 41 23 23",,www.facebook.com/Golden-House,,,,,,,"Wi-Fi,ტრანსფერი",,ბუფეტი,,,"არ აქვს",,12,,,,"ერთ/ორ ადგილიანი: 50 ლარი","ორ ადგილიანი: 50","558 41 23 23; 558 11 61 11",,"#Batumi #GoldenHouse #Wifi #Transfer "
ანრი/Anri,,სასტუმრო,"შ.ხიმშიაშვილის  ქ.  №47 /Sh.Khimshiashvili St. №47","571 16 16 24",,,,,,,,,"Wi-Fi,პარკინგი,ტრანსფერი","ჩოგბურთის კორტები",,,"ზღვასთან ახლოს,საკონფერენციო დარბაზი","არ აქვთ",,10,46,,,"ერთ ადგ:15","ერთ ადგ: 20",,"რუსლან  დიასამიძე - 571 16 16 24",
ამირანი/Amirani,,სასტუმრო,"აღმაშენებლის ქ. № 13ა /Agmashenebeli St. № 13","558 22 20 20",,sastumroamirani@gmail.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi,პარკინგი",,,,,"არ აქვთ",,5,15,,,"ერთ/ორ ადგ: 40",,"გურანდა ბერიძე  558 22 20 20",,
ბაკური/BAKURI,,სასტუმრო,"წერეთლის ქ /TSERETELI ST..№38","&quot;(0422) 27 64 63 577 52 12 23&quot;",,hotelbakuri@yahoo.com,,,,,,,"საკრედიტო ბარათით სარგებლობა,Wi-Fi",,,,,"&quot;საპრეზიდენტო  ნომერი არა აქვთ&quot;",3,11,25,,,"&quot;ერთ ადგ:50 ორ ადგ: 80-100&quot;","&quot;ერთ ადგ:40  ორ ადგ: 50&quot;","&quot;მენეჯერი : მაიკო ბერიძე - 577 12 52 09&quot;",,
აფსაროსი/Afsaros,,სასტუმრო," ჭავჭავაძის ქ. №95 / Chavchavadze St. №95 ","568 61 46 89/ 599 78 32 72/ 555 66 55 87",,,,,,,,,"Wi-Fi,პარკინგი",,,,,"არ აქვთ",3,10,19,,,"ერთ ადგ: 60  ორ ადგ: 80","ერთ ადგ: 60  ორ ადგ: 80","ლეილა კორძაია -568 61 46 89",,
"აკვარიუსი /Akvarius",,სასტუმრო,"პუშკინის ქ. № 37 /Pushkini St. № 37 ","(0422) 22 51 85",,hotel.aquarius@yahoo.com,,,,,,,"Wi-Fi,პარკინგი,საუზმე",,,,,"არ აქვთ",3,15,35,,,"ერთ ადგ:40-50 ორ ადგ:60","ერთ/ორ ადგ: 70","რევაზ ბედინაძე  599 11 94 95 ","ნიკოლოზ ბერიძე- 558 70 11 00",
ბესო/BESO,,სასტუმრო,"ბერიძის ქ. /BERIDZE ST.№15","(0422) 22 09 02",," HOTEL-BESO@MAIL.RU, ",,,,,,,"Wi-Fi,პარკინგი",,კაფე,,,"&quot;საპრეზიდენტო  ნომერი არა აქვთ&quot;",2,27,54,,,"&quot;ერთ/ორ ადგ: 50-60&quot;","&quot;ერთ ადგ:50 ორ ადგ: 80&quot;",,"&quot;დირექტორი:  ირაკლი დიასამიძე (მეპატრონე)-598 97 27 27&quot;",
